Activity,Weight,Reps,Duration,DateTime
Pu,,40,,2020-11-02 07:39:26.090529
Pu,,10,,2020-11-02 07:39:28.285025
Pu,,20,,2020-11-02 07:39:30.299477
Pu,,30,,2020-11-02 07:39:31.966852
P,,10,,2020-11-02 08:27:42.926845
P,,10,,2020-11-02 09:10:48.469089
P,,20,,2020-11-02 09:52:51.522454
D,,15,,2020-11-02 10:22:14.378265
P,,12,,2020-11-02 15:33:42.583168
D,,15,,2020-11-02 16:07:16.174445
Mu,,7,,2020-11-03 12:20:57.193914
P,,7,,2020-11-03 14:54:47.467286
Pu,,20,,2020-11-03 14:54:52.828486
Pu,,30,,2020-11-04 07:56:03.660055
Pu,,25,,2020-11-06 08:19:40.226943
P,,12,,2020-11-06 08:20:53.341010
P,,12,,2020-11-06 13:49:51.683536
Pu,,25,,2020-11-06 13:49:54.716223
P,,15,,2020-11-09 12:26:12.602289
Pu,,30,,2020-11-09 12:26:17.648074
P,,15,,2020-11-10 13:53:52.121005
P,,10,,2020-11-10 13:56:13.389437
P,,22,,2020-11-11 08:40:09.842459
Pu,,33,,2020-11-11 09:38:03.702008
P,,10,,2020-12-07 17:30:15.024148
Pu,,25,,2020-12-07 17:31:40.016390
Pu,,20,,2020-12-21 11:47:52.161536
Pu,,25,,2021-01-04 09:48:16.342606
Pu,,25,,2021-01-04 09:57:09.445118
P,,10,,2021-01-05 10:08:14.053495
D,,10,,2021-01-05 12:39:43.109653
D,,10,,2021-01-05 12:42:08.361696
Pu,,30,,2021-01-06 11:05:23.857748
P,,10,,2021-01-06 11:09:11.032782
P,,10,,2021-01-07 08:21:05.295686
Pu,,20,,2021-01-07 08:21:09.539648
Pu,,20,,2021-01-07 10:51:49.180297
P,,10,,2021-01-07 10:51:50.036492
P,,10,,2021-01-07 11:19:04.927377
Pu,,20,,2021-01-07 11:19:08.830261
Pu,,20,,2021-01-07 11:45:02.306509
Pu,,20,,2021-01-07 16:25:35.982395
P,,15,,2021-01-07 16:25:40.407583
Pu,,20,,2021-01-08 09:10:26.051461
P,,10,,2021-01-08 09:10:27.568805
P,,10,,2021-01-08 10:23:02.954095
Pu,,20,,2021-01-08 10:23:03.906310
Pu,,30,,2021-01-08 16:42:13.817173
P,,15,,2021-01-08 16:42:19.257930
P,,5,,2021-01-09 20:14:16.500521
S,,10,,2021-01-09 20:17:37.720228
P,,10,,2021-01-11 09:22:37.493684
Pu,,20,,2021-01-11 09:22:42.301781
Pu,,20,,2021-01-11 13:54:45.853188
P,,10,,2021-01-11 13:54:46.843413
Pu,,34,,2021-01-12 08:25:29.197374
P,,10,,2021-01-12 08:42:47.926570
D,,10,,2021-01-12 09:01:47.453489
P,,20,,2021-01-12 13:48:11.250083
P,,17,,2021-01-13 08:37:35.657167
Pu,,20,,2021-01-13 08:37:41.323471
